{'event': 'OrbitalCommand Researched', 'start_time': 137, 'end_time': 162, 'building_name': 'CC 2'}
{'event': 'SCV Created', 'start_time': 167, 'end_time': 179, 'building_name': 'CC 2'}
{'event': 'SCV Created', 'start_time': 193, 'end_time': 205, 'building_name': 'CC 2'}
{'event': 'SCV Created', 'start_time': 249, 'end_time': 261, 'building_name': 'CC 2'}
{'event': 'SCV Created', 'start_time': 261, 'end_time': 273, 'building_name': 'CC 2'}
{'event': 'SCV Created', 'start_time': 273, 'end_time': 285, 'building_name': 'CC 2'}
{'event': 'SCV Created', 'start_time': 313, 'end_time': 325, 'building_name': 'CC 2'}
{'event': 'SCV Created', 'start_time': 325, 'end_time': 337, 'building_name': 'CC 2'}
{'event': 'SCV Created', 'start_time': 343, 'end_time': 355, 'building_name': 'CC 2'}
{'event': 'SCV Created', 'start_time': 381, 'end_time': 393, 'building_name': 'CC 2'}
{'event': 'SCV Created', 'start_time': 393, 'end_time': 405, 'building_name': 'CC 2'}
{'event': 'SCV Created', 'start_time': 405, 'end_time': 417, 'building_name': 'CC 2'}
{'event': 'SCV Created', 'start_time': 476, 'end_time': 488, 'building_name': 'CC 2'}
{'event': 'SCV Created', 'start_time': 492, 'end_time': 504, 'building_name': 'CC 2'}
